Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
NORWALK COMM SCHOOL DISTRICT,Norwalk,IA,10657,9615,6080
ODEBOLT-ARTHUR COMM SCHOOL DISTRICT,Odebolt,IA,14789,12020,8357
OELWEIN COMM SCHOOL DISTRICT,Oelwein,IA,12335,10153,6454
OGDEN COMM SCHOOL DISTRICT,Ogden,IA,12578,10275,6959
OKOBOJI COMM SCHOOL DISTRICT,Milford,IA,14385,10636,7282
OLIN CONSOLIDATED SCHOOL DISTRICT,Olin,IA,12732,7124,3708
ORIENT-MACKSBURG COMM SCHOOL DISTRICT,Orient,IA,14886,10726,6761
OSAGE COMM SCHOOL DISTRICT,Osage,IA,10694,9625,6419
OSKALOOSA COMM SCHOOL DISTRICT,Oskaloosa,IA,10674,9598,6089
OTTUMWA COMM SCHOOL DISTRICT,Ottumwa,IA,10043,9195,5820
PANORAMA COMM SCHOOL DISTRICT,Panora,IA,14294,10565,6702
PATON-CHURDAN COMM SCHOOL DISTRICT,Churdan,IA,11065,8548,5517
PCM COMM SCHOOL DISTRICT,Monroe,IA,10406,9715,6288
PEKIN COMM SCHOOL DISTRICT,Packwood,IA,12108,10708,6763
PELLA COMM SCHOOL DISTRICT,Pella,IA,18627,10338,6839
PERRY COMM SCHOOL DISTRICT,Perry,IA,12370,10316,6874
PLEASANT VALLEY COMM SCHOOL DISTRICT,Bettendorf,IA,10350,8827,5860
PLEASANTVILLE COMM SCHOOL DISTRICT,Pleasantville,IA,11849,10507,6951
POCAHONTAS AREA COMM SCHOOL DISTRICT,Pocahontas,IA,19113,10986,6573
POSTVILLE COMM SCHOOL DISTRICT,Postville,IA,12008,10379,6839
PRAIRIE VALLEY COMM SCHOOL DISTRICT,Gowrie,IA,13998,10936,7433
RED OAK COMM SCHOOL DISTRICT,Red Oak,IA,12195,10726,6765
REMSEN-UNION COMM SCHOOL DISTRICT,Remsen,IA,12348,10629,7081
RICEVILLE COMM SCHOOL DISTRICT,Riceville,IA,14289,10773,6582
RIVER VALLEY COMM SCHOOL DISTRICT,Correctionville,IA,11122,9825,6166
RIVERSIDE COMM SCHOOL DISTRICT,Carson,IA,28016,9300,5793
ROCK VALLEY COMM SCHOOL DISTRICT,Rock Valley,IA,16205,9743,6836
ROLAND-STORY COMM SCHOOL DISTRICT,Story City,IA,14097,9995,6679
RUDD-ROCKFORD-MARBLE RK COMM SCHOOL DISTRICT,Rockford,IA,12571,10719,6922
RUTHVEN-AYRSHIRE COMM SCHOOL DISTRICT,Ruthven,IA,12307,9051,5397
SAYDEL COMM SCHOOL DISTRICT,Des Moines,IA,16980,12180,7260
SCHALLER-CRESTLAND COMM SCHOOL DISTRICT,Schaller,IA,13906,11333,7246
SCHLESWIG COMM SCHOOL DISTRICT,Schleswig,IA,15330,9613,6219
SERGEANT BLUFF-LUTON COMM SCHOOL DISTRICT,Sergeant Bluff,IA,12151,11019,7644
SEYMOUR COMM SCHOOL DISTRICT,Seymour,IA,10144,8400,5407
SHELDON COMM SCHOOL DISTRICT,Sheldon,IA,12474,9963,6334
SHENANDOAH COMM SCHOOL DISTRICT,Shenandoah,IA,11547,10460,6780
SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT,Sibley,IA,10629,9269,5667
SIDNEY COMM SCHOOL DISTRICT,Sidney,IA,14612,13515,8905
SIGOURNEY COMM SCHOOL DISTRICT,Sigourney,IA,11557,9983,6426
SIOUX CENTER COMM SCHOOL DISTRICT,Sioux Center,IA,16000,9674,6804
SIOUX CENTRAL COMM SCHOOL DISTRICT,Sioux Rapids,IA,17762,12890,8236
SIOUX CITY COMM SCHOOL DISTRICT,Sioux City,IA,12438,10420,6815
SOLON COMM SCHOOL DISTRICT,Solon,IA,12307,9949,6438
SOUTH CENTRAL CALHOUN COMM SCHOOL DISTRICT,Rockwell City,IA,11922,10326,5696
SOUTH HAMILTON COMM SCHOOL DISTRICT,Jewell,IA,12975,11287,7510
SOUTH O'BRIEN COMM SCHOOL DISTRICT,Paullina,IA,12420,11177,7309
SOUTH PAGE COMM SCHOOL DISTRICT,College Springs,IA,12238,9262,5790
SOUTH TAMA COUNTY,Tama,IA,11162,9770,6019
SOUTH WINNESHIEK COMM SCHOOL DISTRICT,Calmar,IA,12377,10095,6770
SOUTHEAST POLK COMM SCHOOL DISTRICT,Pleasant Hill,IA,11668,9989,6071
SOUTHEAST WARREN COMM SCHOOL DISTRICT,Liberty Center,IA,11348,8920,5764
SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT,Burnside,IA,13745,10401,7016
SPENCER COMM SCHOOL DISTRICT,Spencer,IA,13068,10800,7593
SPIRIT LAKE COMM SCHOOL DISTRICT,Spirit Lake,IA,11467,10122,6282
SPRINGVILLE COMM SCHOOL DISTRICT,Springville,IA,11221,9298,5705
ST ANSGAR COMM SCHOOL DISTRICT,St Ansgar,IA,12758,10042,6311
